First Name, Last Name,Absolute Strength - UB,Relative Strength - UB,Allometric Strength - UB,Power (W),Speed (m/s),Acceleration (m/s^2),Agility,Body Composition,Overall
Rob,Gronkowski,51,40,78,n/a,86,36,,,48
Myles,Garrett,61,44,89,100,86,36,,,69
Von,Miller,49,40,78,88,91,80,,,71
Odell,Beckham Jr.,37,37,66,82,90,40,,,59
Aaron,Rodgers,41,36,68,79,85,72,,,64
Blake,Griffin,60,48,94,79,83,46,,,68
Derek,Carr,n/a,n/a,n/a,78,85,37,,,33
John,Ross,,,,78,,,,,
Michael,Jordan,n/a,n/a,n/a,77,n/a,n/a,,,13
Dak,Prescott,n/a,n/a,n/a,76,84,71,,,38
Ezekiel,Elliott,n/a,n/a,n/a,76,90,79,,,41
Derrick,Rose,33,34,61,75,92,53,,,58
Jimmy,Butler,n/a,n/a,n/a,75,n/a,n/a,n/a,56,12
Carson,Wentz,n/a,n/a,n/a,74,84,72,,,38
James,Harden,45,41,76,74,87,50,,30,62
Dwayne,Wade,32,30,56,72,89,52,,45,55
Antonio,Brown,46,49,86,71,88,81,,,70
John,Wall,n/a,n/a,n/a,66,89,50,,54,34
Damien,Lillard,38,40,71,66,n/a,50,,,44
Russell,Westbrook,36,38,67,66,91,52,,,58
Kawhi,Leonard,n/a,n/a,n/a,63,n/a,n/a,n/a,,11
Stephen,Curry,33,37,65,63,87,46,,,55
Kevin,Durant,n/a,n/a,n/a,62,80,41,,,31
Klay,Thompson,n/a,n/a,n/a,62,n/a,n/a,n/a,38,10
Tom,Brady,n/a,n/a,n/a,59,76,68,,,34